address_id,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery_state
1,833 Briar Crest Court,,Knoxville,37918,Tennessee
2,17680 Susan Junction,,Philadelphia,19134,Pennsylvania
3,92160 Weeping Birch Road,,Chicago,60610,Illinois
4,3168 Clemons Road,,Round Rock,78664,Texas
5,03250 Miller Park,,Phoenix,85023,Arizona
6,87050 Valley Edge Plaza,,New York City,10011,New York
7,9338 Rutledge Drive,,Skokie,60076,Illinois
8,73530 Brickson Park Lane,,Greensboro,27405,North Carolina
9,68 Welch Avenue,,Mentor,44060,Ohio
10,73941 Arizona Plaza,,Chicago,60653,Illinois
11,415 Swallow Place,Apt 964,El Paso,79907,Texas
12,4 Kingsford Court,,Louisville,80027,Colorado
13,0946 Pleasure Center,,Tucson,85705,Arizona
14,176 Evergreen Junction,,Mesa,85204,Arizona
15,5 Morning Circle,Room 1885,Cranston,2920,Rhode Island
16,1837 Dexter Junction,,Chicago,60653,Illinois
17,7809 Goodland Crossing,PO Box 48071,Troy,45373,Ohio
18,909 Moulton Drive,Apt 897,Lancaster,43130,Ohio
19,1 Anhalt Circle,,Los Angeles,90036,California
20,663 Miller Circle,Suite 96,Dallas,75220,Texas
21,73880 Vahlen Circle,,Chicago,60653,Illinois
22,5415 Spohn Junction,,Philadelphia,19143,Pennsylvania
23,6241 Artisan Center,Apt 424,Mansfield,76063,Texas
24,4458 Twin Pines Crossing,PO Box 93258,Houston,77095,Texas
25,3 Armistice Road,,Houston,77036,Texas
26,18725 Victoria Crossing,,Wheeling,26003,West Virginia
27,5 Schurz Circle,,San Antonio,78207,Texas
28,99062 Oak Place,,Dublin,43017,Ohio
29,59 Stoughton Plaza,,Dallas,75217,Texas
30,79992 Bultman Pass,,New York City,10024,New York
31,4 Stang Pass,,Aurora,60505,Illinois
32,687 Burrows Way,,Philadelphia,19140,Pennsylvania
33,77 Muir Junction,,Houston,77095,Texas
34,6 Arkansas Park,7th Floor,Philadelphia,19120,Pennsylvania
35,01 Everett Park,PO Box 75095,Newark,43055,Ohio
36,2089 Cascade Way,,Arlington,76017,Texas
37,66 1st Point,17th Floor,Dallas,75220,Texas
38,1 Pierstorff Street,Apt 437,Chicago,60623,Illinois
39,64 Fieldstone Way,,Springfield,45503,Ohio
40,038 Loftsgordon Way,,Knoxville,37918,Tennessee
